,datetime,w,w_forecasted,d,d_forecasted
386,2021-04-17 02:00:00,24.641328,24.816591,66940.768,67210.0
387,2021-04-17 03:00:00,26.662498,24.928046,66874.479,66998.0
388,2021-04-17 04:00:00,26.152978,25.360758,67467.916,67547.0
389,2021-04-17 05:00:00,23.937364,25.393851,69339.038,69267.0
390,2021-04-17 06:00:00,24.773821,28.861117,72061.967,71870.0
391,2021-04-17 07:00:00,21.254846,34.533254,74016.584,74361.0
392,2021-04-17 08:00:00,22.159464,35.483811,75137.422,76376.0
393,2021-04-17 09:00:00,24.918554,36.065617,75311.022,77150.0
394,2021-04-17 10:00:00,25.912376,34.664898,74987.728,76704.0
395,2021-04-17 11:00:00,24.687487,32.985386,74128.554,75868.0
